lat,lon,true_label,pred_label,prob_low,prob_medium,prob_high,traffic_load,est_pavement_age,streetuse,length_m,water_main_avg_age,is_truck_route,is_snow_route,neighbourhood,tree_count_30m,sewer_combined_pct,slope_pct,elevation_m,complaint_total,is_bikeway,utility_density,drainage_risk,ROW_width,pred_fusion,pred_xgb,pred_stacked,pred_tuned,fusion_prob_low,fusion_prob_med,fusion_prob_high,xgb_prob_low,xgb_prob_med,xgb_prob_high,stacked_prob_low,stacked_prob_med,stacked_prob_high
49.27966929670998,-123.06269091868003,2,1,0.18786426559090613,0.44881841242313386,0.3633173450827598,3.0,54.0,Arterial,135,54.0,0,0,Grandview-Woodland,9,0.0,3.0660131164492817,37.0,2.0,0,9,0.0,20.0,1,1,1,1,0.15676375,0.42232,0.42091626,0.11498265,0.54934037,0.33567697,0.14197372,0.50232005,0.35570621
49.26341710788294,-123.13669813636874,0,0,0.5088783174753189,0.45330906957387923,0.03781260680407286,8.637239779386935,19.818181818181817,Arterial,50,19.818181818181817,1,0,Fairview,0,0.0,4.441228250650962,46.0,0.0,0,35,0.0,66.0,0,0,0,0,0.5331868,0.43424985,0.032563306,0.5425599,0.41925305,0.038187016,0.54970527,0.41060683,0.039687935
49.21339500245644,-123.1113347505834,2,1,0.2882230386137962,0.38570842146873474,0.3260685600340366,3.0,38.5,Arterial,205,38.5,0,0,Marpole,10,1.0,7.3035629576014,19.0,0.0,1,13,1140.4,20.0,1,1,1,1,0.33393276,0.42569515,0.24037214,0.23913607,0.4089058,0.3519581,0.26340505,0.41706988,0.31952506
49.25890106932627,-123.07778838748244,0,0,0.8525594890117645,0.13072066754102707,0.016719805391039698,6.645361767251254,34.142857142857146,Residential,39,34.142857142857146,1,1,Mount Pleasant,2,0.0,4.499104937259773,33.0,1.0,0,29,0.0,20.0,0,0,0,0,0.8810504,0.11505671,0.0038928317,0.9768133,0.016117487,0.007069188,0.94763863,0.04293172,0.009429634
49.26145751199021,-123.20310198548113,2,1,0.2719960540533066,0.4963902086019516,0.23161372616887094,0.8999999999999999,34.8,Residential,101,34.8,0,0,West Point Grey,10,0.0,5.708910867450116,79.0,1.0,1,36,0.0,66.0,1,1,1,1,0.32810533,0.48499942,0.18689519,0.18592101,0.69890535,0.115173616,0.22326459,0.54356843,0.23316702
49.24946645896552,-123.11002272308863,2,2,0.12459512427449225,0.4227208361029625,0.45268403738737106,3.0,68.0,Arterial,121,68.0,0,0,Riley Park,10,0.6666666666666666,1.945132160369297,69.0,7.0,0,12,760.2666666666667,7.0,2,2,1,2,0.07799411,0.39978555,0.5222203,0.023101455,0.3988588,0.57803977,0.046387095,0.49986628,0.45374662
49.255252553613815,-123.17853540626588,1,2,0.20329982191324233,0.3851695120334625,0.4115306302905083,0.8999999999999999,80.0,Residential,134,95.0,0,0,Dunbar-Southlands,3,0.3333333333333333,8.131887319784669,51.0,0.0,0,10,380.1333333333333,66.0,2,2,1,2,0.14898227,0.36128473,0.48973292,0.2541097,0.21932642,0.5265639,0.17200471,0.42673942,0.40125582
49.2349071853501,-123.16520312018343,1,1,0.15046456083655357,0.7088575005531311,0.14067795872688293,3.610267499636143,51.6,Residential,50,51.6,0,0,Arbutus Ridge,0,1.0,2.502926395640821,65.0,0.0,0,27,1155.6,66.0,1,1,1,1,0.15425678,0.6384236,0.20731963,0.09806409,0.7924789,0.10945694,0.10940489,0.8257484,0.06484675
49.255324345997,-123.07687704550226,0,0,0.35605109035968785,0.3749272257089615,0.26902170926332475,3.0,17.0,Arterial,141,17.0,0,0,Kensington-Cedar Cottage,8,0.0,5.989022380248055,42.0,1.0,0,7,0.0,20.0,1,0,0,0,0.26045355,0.37688935,0.3626571,0.57147133,0.21907835,0.20945027,0.46379662,0.36181948,0.17438394
49.24987868778368,-123.1203428718809,2,1,0.2525569960474968,0.38944304883480074,0.35799995958805086,3.0,17.09090909090909,Arterial,178,17.09090909090909,0,0,South Cambie,8,1.0,3.588472535021106,73.0,3.0,1,25,1140.4,66.0,1,2,1,1,0.36883485,0.37197778,0.2591873,0.16088094,0.39143744,0.4476816,0.18415067,0.44696024,0.3688891
49.28170386866031,-123.07913909547462,2,2,0.21664709150791167,0.38558006286621094,0.3977728441357613,0.8999999999999999,79.0909090909091,Residential,131,79.0909090909091,0,0,Strathcona,0,0.5,4.546461004084205,9.0,1.0,0,20,570.2,20.0,2,2,1,2,0.21581024,0.35980156,0.4243882,0.2317214,0.2988347,0.46944395,0.1679931,0.42719114,0.4048158
49.25917470974535,-123.17222196616754,2,0,0.28131046444177626,0.3603852316737175,0.35830429196357727,0.8999999999999999,24.0,Residential,100,24.0,0,0,Kitsilano,10,0.0,1.0914445652381068,24.0,1.0,0,13,0.0,66.0,0,2,2,0,0.37523448,0.35692343,0.26784205,0.19342148,0.2363412,0.57023734,0.20009215,0.35455972,0.44534814
