model,f1
Road-MLP,0.42782960329717473
Tabular-MLP,0.5206906140306063
Fusion,0.5337295300627681
XGBoost,0.5413948010733105
CatBoost,0.5385861982633101
LightGBM,0.5157660282108747
ExtraTrees,0.5094723978209775
Stacked,0.5230446143515896
Tuned,0.5540925805017504
